From,To
Luisa Gianetti,Marcel
Marcel,Ross
Bonnie,Ross
Cecilia Monroe,Joey
Erica,Monica
Louis Posen,Chandler
Uncle Dan,Ross
Frank Jr. Jr.,Mrs. Buffay (Frank Sr.'s second wife)
Chappy,Phoebe
Chi-Chi,Monica
Colleen,Owen
Cousin Frannie,Ben Geller
Amy Greene,Joey
Earl,Phoebe
The Kids,Chandler
Ursula Buffay,Chandler
Maria,Ross
Ugly Naked Guy,Monica
Gina Tribbiani,Joey Tribbiani Sr.
Dina,Nonnie
Gloria Tribbiani,Joey Tribbiani Sr.
Mrs Adelman,Phoebe
Charlie Wheeler,Professor Spafford
Maureen,Judy Geller
Brown Bird Troop Leader,Sarah
Eric,Phoebe
Male Guest,Bob
Dr. Wiener,Rachel
Ryan,Earl
Melissa Warburton,Ross
Emma Geller-Greene,Erica
Tim (Season 3),Phoebe
Paul Stevens,Chandler
Steven Fisher,Ross
Aunt Iris,Randall
Emma Geller-Greene,Ida Greene
Jeanine,Wendy
Ethan,Monica
Mrs. Stevens,Paul Stevens
Erika Ford,Joey
Phoebe Abbott,Phoebe
Aurora,Chandler
Amy Welsh,Monica
Dr. Harad,The Triplets
Jamie,Carol Willick
Jessica Lockhart,Celia
Bitsy Hannigan,Ross
Bruce Buffer,Michael
Kim,Rachel
Restaurant Manger/Producer,Monica
The Doctor,Erica
The Triplets,Mrs. Buffay (Frank Sr.'s second wife)
Mr. Heckles,Phoebe
Stuart,Chandler
Frank Jr. Jr.,Rachel
Sidney Marks,Ugly Naked Guy
Tag Jones,Mr. Zelner
Josh,Ross
Cousin Frannie,Ross
Barbara Burke,Monica
Stephen Waltham,Ben Geller
Charlie Wheeler,Rachel
Aunt Millie,Ben Geller
Leslie Buffay,Phoebe Abbott
Joey Tribbiani Sr.,Nonnie
Mr. Kaplan Jr.,Chandler
Emma Geller-Greene,Joey
Precious,Joey
Sarah Tuttle,Ross
Frank Buffay Sr.,Phoebe
George Stephanopoulos,Phoebe
Wayne,Joey
Ben Geller,Minnie
Anita Altman,Chandler
Marjorie,Chandler
Althea's husband,Aunt Lillian
Sonya,Joey
Mr. Adelman,Joey
Jill Goodacre,Chandler
Estelle Leonard,Monica
Jasmine,Rachel
Schnoodle,Russ
Ida Greene,Rachel
Jack Geller,Cookie
Paula,Monica
Chandler Buffay,Ursula Buffay
Jessica Lockhart,Rachel
Elizabeth Hornswoggle,Chandler
Amy Welsh,Chip Matthews
Uncle Sal,Chandler
Owen,Phoebe
Althea,Emma Geller-Greene
Sarah,Molly
Mark Robinson,Phoebe
Hootie and the Blowfish,Rachel
Cassie,Aunt Marilyn
Phoebe's stepfather,Joey
Duncan,Lily Buffay
Ralph Lauren,Rachel
The Triplets,Rachel
George Stephanopoulos,Monica
Cousin Frannie,Monica
Aunt Cheryl,Emma Geller-Greene
Leslie (casting director),Monica
Robert,Ross
Uncle Sal,Tribbiani Sisters
Laura,Chandler
Dina,Monica
Sergei,Ross
Isaac,Ross
Luisa Gianetti,Phoebe
Mary-Therese Tribbiani,Cookie
Frank Buffay Sr.,Bob
Guru Saj,Joey
Marie,Monica
Erica Bing,Nora Tyler Bing
Marsha,Ross
Joanna,Chandler
Pete Becker,Phoebe
Mischa,Sergei
Richard Burke,Chandler
Frank Jr. Jr.,Dan
Kash Ford,Joey
Andrew,Rick
Jean-Claude Van Damme,Ross
Will Colbert,Rachel
Nurse,Carol Willick
Althea's husband,Erica
Doug,Kara
Alice Knight,Ursula Buffay
Rhonda,Phoebe
Jeanine,Monica
Aunt Liddy,Judy Geller
Delia,Sandy
Aunt Cheryl,Ben Geller
Dr. Ledbetter,Don
Tribbiani Sisters,Rachel
Aunt Millie,Monica
Duncan,Earl
Pete Becker,Monica
Dr. Harad,Phoebe
Cailin Praytor,Ross
Leslie Buffay,Chandler
Gavin Mitchell,Monica
Mr. Treeger,Joey
Parker,Rachel
Amanda (Ross' date),Chandler
Charles Bing,Nora Tyler Bing
Timothy Burke,Chandler
Tomas,Pete Becker
Erica Bing,Phoebe
Mrs. Buffay (Frank Sr.'s second wife),Chandler
Grandma Geller,Joey
Gloria Tribbiani,Cookie
Jill Greene,Phoebe
Cailin,Tom
Sandra Greene,Phoebe
Steve (drug addict),Judy Geller
Cassie,Erica
Julie,Russ
Cassie,Ryan
Janine Lecroix,Dan
Joey Tribbiani Sr.,Mary-Angela
Mozzarella,Rachel
Mark Robinson,Nancy
Stuart,Jack Geller
Dan,Chandler
Dr. Ledbetter,Ross
Fun Bobby,Russ
Tomas,Chandler
Unnamed Season 1 Characters,David
Nurse Sizemore,Mary
Aunt Cheryl,Ross
Joanna,Sophie
Roy Gublik,Monica
Mona,Ross
Aunt Cheryl,Stu
Terry,Phoebe
Denise,Phoebe
Erica,Erica Bing
Muriel,Jill Greene
Rick Sanoven,Phoebe
Ursula Buffay,Cookie
Charlton Heston,Marie
Tag Jones,Chandler
Mrs. Buffay (Frank Sr.'s second wife),Lily Buffay
Danny,Joey
Hillary,Ross
Mona,Mona's boyfriend
Nancy,Lauren
Pete Becker,Peter
Stevens siblings' father,Chandler
Gunther,Phoebe
Alice Knight,Mike Hannigan
Elizabeth Stevens,Stevens siblings' mother
Amy Greene,Leonard Greene
Rick,Phoebe
Colleen,Ross
The Judge,Ross
Nick,Chandler
The Chick and The Duck,Rachel
Mr. Bunch,Mrs. Bunch
Maureen,Ross
Gunther,Janice Litman-Goralnik
Grandma Geller,Judy Geller
Mrs. Braverman,Chandler
Nonnie,Caitlin
Chip Matthews,Dan
Denise,Monica
Paul the Wine Guy,Monica
Rhonda,Peter
Wendy,Chandler
Leonard Greene,Mona
Professor Spafford,Ross
Joanne,Kiki
Katie,Joey
Vince,Phoebe
Joanna,Ralph Lauren
Mona,Monica
Stephen Waltham,Tom
Muriel,Amy Greene
Bonnie,Rachel
Russell,Joey
Al Zebooker,Dan
Sandra Greene,Barry Farber
Mr. Heckles,Paolo
Ben Geller,Russ
Uncle Dan,Rachel
Jill Greene,Jen
Janice Litman-Goralnik,Phoebe
Eric (photographer),Ursula Buffay
Gary,Phoebe
Krista,Chandler
Donny Osmond,Joey
Mike Hannigan,Silvia
Kyle Lowder,Kyle
Erica,Chandler
Althea,Aunt Phylis
Mr. Waltham,Rachel
Terry,Terry (casting director)
Tony (Allesandro's employee),Monica
Frances,Joey
Judy Geller,Monica
Gavin Mitchell,Mr. Zelner
Tony,Phoebe
Althea,Althea's husband
Melissa Warburton,Rachel
Steven Fisher,Rachel
Ugly Naked Guy,Chandler
Gina Tribbiani,Marie
Emma Geller-Greene,Leonard Greene
Christmas tree customer,Joey
Kathy,Nick
Joshua Burgin's ex-wife,Mr. Burgin
Mary,Ursula Buffay
Nurse Sizemore,Joey
Tim (Season 3),Pete Becker
Dave,Ross
Tina,Cookie
Ugly Naked Guy,Dan
Gunther,Jen
Kristen Leigh,Joey
Unnamed Season 7 Characters,Ross
Josh,Rachel
Nonna,Gloria Tribbiani
Russ,Phoebe
Celia,Ross
Chandler Buffay,Frank Buffay Jr.
Andrea Waltham,Emily Waltham's second husband
Emily Waltham's second husband,Stephen Waltham
Mike Hannigan,Phoebe
Charlie Wheeler,Mr. Wheeler
Chandler Buffay,Ross
Amy Greene,Monica
Mrs. Robinson,Ross
Sarah Tuttle,Rachel
Bitsy Hannigan,Mike Hannigan's brother
Elizabeth Stevens,Ms. Stevens
Tim (Season 3),Chandler
Gavin,Susan Bunch
Gunther,Michael
Charlie Wheeler,Angela Delveccio
Margha,Joey
Emily Waltham,Judy Geller
Julie Coreger,Ross
Tag Jones,Ralph Lauren
Phoebe Abbott,Chandler
Steve (drug addict),Leonard Greene
Uncle Dan,Dan
The Waiter,Ross
Dr. Wiener,Joey
Fake Monica,Monica
Earl,Lily Buffay
Julie Graff,Ross
Mr. Burgin,Rachel
Maria,Dan
Mark Robinson,Mark Robinson's niece
Russ,Bob
Emma Geller-Greene,Phoebe
Precious,Phoebe
Robert,Rachel
Rick (Aurora's husband),Andrew
Robinson Twins,Rachel
Roger,Rachel
Mr. Adelman,Phoebe
Gunther,Terry
Sergei,Rachel
Frank Jr. Jr.,Joey
Isaac,Rachel
Terry (casting director),Stryker Ramoray
George Stephanopoulos,Chandler
Barry Farber,Rachel
Amy Greene,Barry Farber
Bobby Corso,Dina
Charlie Wheeler,Joey
Dina,Chandler
Nancy (Bloomingdale's Employee),Ross
Alice Knight,Frank Buffay Jr.
Duncan,Ursula Buffay
Leonard Greene,Cookie
Paolo,Phoebe
Phoebe's stepfather,Phoebe
Frances,Mike Hannigan
Doug,Joey
Emma Geller-Greene,Monica
Dina,Tribbiani Sisters
Kara,Joey
Russ,Barry Farber
Danielle,Dan
Mark Robinson,Chandler
Kathy,Monica
Mischa,Ross
Ben Geller,Phoebe
Jean-Claude Van Damme,Rachel
Grandma Geller,Ben Geller
Stevens siblings' mother,Ross
Jessica Lockhart,Joey
Unidentified Phoebe Buffay fan,Phoebe
Katie (saleswoman),Ross
Isaac,Jasmine
Aunt Liddy,Monica
Charlie Wheeler,Kate Miller
Erica,Jack Geller
Frank Buffay Sr.,Lily Buffay
Guru Saj,Phoebe
Megan Bailey,Rachel
Felicity,Ross
Sarah,Joey
Bitsy Hannigan,Theodore Hannigan
Paolo,Monica
Joanne,Maria
Chloe,Rachel
Lauren,Jen
Cailin Praytor,Rachel
Carol Willick,Susan Bunch
Michelle Burke,Michelle
Aunt Lillian,Aunt Phylis
Don,Rachel
Pete Becker,Chandler
Jen,Rachel
Gary Litman,Ross
Andrea Waltham,Emily Waltham
Eddie Menuek,Chandler
The Dry Cleaner's Wife,Russ
Kori Weston,Chandler
Joey Tribbiani Sr.,Tribbiani Sisters
Judy Geller,Uncle Freddie
"Roy ""Goodbody""",Rachel
Carl (actor),Joey
The Kids,The Triplets
Steve (drug addict),Monica
Mischa,Monica
Paul Stevens,Stevens siblings' mother
Nervous male passenger,Phoebe
Nancy,Rachel
Althea,Rachel
Richard Burke,Michelle
Dr. Baldharan,Ross
Frank Buffay Jr.,Leslie Buffay
Jason,Phoebe
Janine Lecroix,Kate Miller
Aunt Cheryl,Rachel
Isabella Rossellini,Earl
Pete Becker,Julio (poet)
Melanie,Rachel
Cailin,Tommy
Gloria Tribbiani,Mary-Therese Tribbiani
Stuart,Cheryl
Huggsy,Chandler
Caitlin,Phoebe
Charlton Heston,Lydia
Tribbiani Sisters,Joey
Mark Robinson,Sophie
Julio (cat),Phoebe
Kristen Leigh,Marcel
Susie Moss,Robert
Susan Bunch,Phoebe
Gary Litman,Monica
Sandra Greene,Chandler
Uncle Murray,Eric
Mr. Treeger,Monica
Brown Bird Troop Leader,Sarah Tuttle
Dick Clark,Ross
Timothy Burke,Michelle
Dr. Robert Bobby,Rachel
Al Zebooker,Joey
Emma Geller-Greene,David
Ginger,Tim
Precious,David
Ryan,Ross
The Chick and The Duck,Chick Jr. & Duck Jr.
Grandma Geller,Monica
Danny,Krista
Caitlin,Monica
Aunt Iris,Tony
Elizabeth Hornswoggle,Sarah
Althea's husband,Monica
Amanda Buffamonteezi,Jen
Mozzarella,Joey
Ben Geller,Michael
Denise,Chandler
The Dry Cleaner,Russ
Eric,Malcolm
Cousin Frannie,Jack Geller
The Housekeeper,Rachel
Cassie,Phoebe
Aunt Millie,Cousin Frannie
"Roy ""Goodbody""",Dan
Mark Robinson,Ralph Lauren
Bob (rat),Mike Hannigan
Jack Geller,Aunt Phylis
Roy Gublik,Roy
Marcel,Katie
Steve (Chandler's boss),Monica
Dina,Mary
Gunther,Jasmine
Joshua Burgin,Joshua Burgin's nephew
Young Ethan,Stu
Mr. Burgin,Mrs. Burgin
Leslie (casting director),Leslie Buffay
Chandler Buffay,Phoebe Abbott
Ben Geller,Susan Bunch
Tom,Doug
Dr. Baldharan,Fake Monica
Frances,Frank Buffay Jr.
Joey Tribbiani Sr.,Tina
Dana Keystone,Monica
Nonnie,Ross
Ugly Naked Guy,Joey
Jeffrey,Monica
Parker,Judy Geller
Carl (bully),Peter
Molly,Emma Geller-Greene
Schnoodle,Russell
Franny,Paul the Wine Guy
The Chick and The Duck,Kathy
Dr. Schiff,Rachel
Emily Waltham,Ross
Judy Geller,Chandler
Mary Ellen Jenkins,Joey
Ta-Taka-Ki-Kek,Will Colbert
Nurse,Joey
The Kids,Phoebe
Mrs. Burnett,Phoebe
Steve Cera,Joey
Frances,Albert
Dave,Rachel
Bitsy Hannigan,Mike Hannigan's ex-wife
Sandra Greene's father,Emma Geller-Greene
Stephen Waltham,Jack Geller
Gavin Mitchell,Ralph Lauren
Janice Litman-Goralnik,Chandler
Gary,Chandler
Unnamed Season 7 Characters,Rachel
Marcel,Joey
Mr. Simon,Phoebe
Bonnie,Joey
Dr. Gettleman's daughter,Monica
Dina,Cookie
Restaurant Manger/Producer,Joey
Emilio,Marie
David,Max
Mr. Zelner,Ralph Lauren
Emily Waltham's cousin,Emily Waltham's second husband
Christmas tree customer,Phoebe
Joey Tribbiani Sr.,Mary
Charlie Wheeler,Cecilia Monroe
Mrs. Robinson,Rachel
Cousin Frannie,Erica
Timmy,Rachel
Aunt Sylvia,Aunt Iris
Leslie Buffay,The Triplets
Frances,Monica
Julie Coreger,Rachel
Emily Waltham,Monica
Jade,Ross
Amy Greene,Chandler
Emma Geller-Greene,Erica Bing
The Waiter,Rachel
Dean Lipson,The Zoo Employee
Melissa Warburton,Joey
Sandra Greene's father,Nick
Carl (Rachel's date),Ross
Cailin,Caitlin
Mr. Heckles,Eric
Phoebe's stepfather,Frances
Tommy,Monica
Nancy (realtor),Monica
Kate Miller,Jen
Charles Bing,Earl
Stu,Allesandro
Tina,Dina
Duncan,Frank Buffay Jr.
Bill,Phoebe
Ida Greene,Leonard Greene
Andrew,Chandler
Gloria Tribbiani,Brenda
Gina Tribbiani,Mary-Angela
Fun Bobby,Fun Bobby's grandfather
Erika Ford,Chandler
Josh,Joey
Joan Tedeschi,Monica
"David ""Tank"" Abbott",David
Kim,Ross
Nina Bookbinder,Chandler
Theodore Hannigan,Ross
Stevens siblings' father,Stevens siblings' mother
Eddie Menuek,Tilly
The next next Martin Scorsese,Ross
Aunt Millie,Erica
Aunt Marilyn,Chandler
Dave,Dan
Fun Bobby,Vince
Gary Litman,Gary
Molly,Ross
Eric,Ursula Buffay
Nancy Branson,Rachel
Sarah Tuttle,Joey
Barbara Burke,Michelle
Bill,Monica
Elizabeth Hornswoggle,Elizabeth Stevens
Mrs. K.,Rachel
Charlie Wheeler,Albert
Emma Geller-Greene,Chandler
Julie Coreger,Marc Coreger
Katie (saleswoman),Rachel
Emily Waltham,Emily Waltham's cousin
Mary Ellen Jenkins,Mike Hannigan
Mona's boyfriend,Ross
Kim,Lauren
Sonya,Chandler
Al Zebooker,Estelle Leonard
The Kids,Michael
Rob Donnen,Don
Kathy,Chandler
Felicity,Rachel
Aunt Sylvia,Eric
Robert,Gunther
Mr. Rastatter,Michael
Carol Willick,Earl
Molly,Tabitha
Robert,Joey
Joshua Burgin,Don
Colin,Emily Waltham
Ross Zelner,Ralph Lauren
Charlie Wheeler,Emily Waltham
Isaac,Gunther
Theodore Hannigan,Monica
Hootie and the Blowfish,Ross
Phoebe's stepfather,Chandler
Julio (poet),Carlos
Bobby Rush,Bob
Ida Greene,Phoebe
Nonna,Cookie
Barry Farber,Joey
Frank Buffay Sr.,Ursula Buffay
Charlie Wheeler,Monica
Clifford Burnett,Mrs. Burnett
Ursula Buffay,Leslie
Shovelly Joe,Monica
Jasmine,Mr. Treeger
Jake,Rachel
Ginger,Kathy
Sid Goralnik,Ross
The Kids,Susan Bunch
Bob (rat),Phoebe
Bob (Chandler's coworker),Bob
Jack Geller,Rachel
Doug,Monica
Alice Knight,Chandler
Grandma Geller,Erica Bing
Leslie Buffay,Phoebe
Kara,Monica
Stephanie,Terry
Guru Saj,Chandler
Dr. Roger,Roger
Tommy,Tom
Steve (drug addict),Chandler
Tabitha,Joey
Althea's husband,Erica Bing
Joshua Burgin,Ross
Ralph Lauren,Lauren
Chandler Buffay,Frank Jr. Jr.
Bobby Rush,Barry Farber
Unnamed Season 1 Characters,George Stephanopoulos
Jessica Lockhart,Monica
Elizabeth Hornswoggle,Peter
Marc Coreger,Julie
Sarah,Monica
Marshall Townend,Joey
Bitsy Hannigan,Mike Hannigan
Althea,Eric
Erica Bing,Eric
Chick Jr. & Duck Jr.,Joey
Aunt Cheryl,Erica
Carol Willick,Mrs. Bunch
The Triplets,Monica
Kip,Rachel
Lowell (mugger),Ross
Dan,Phoebe
Uncle Murray,Ben Geller
Mark Robinson's niece,Chandler
Janine Lecroix,Monica
Don,Joey
Will Colbert,Anita Altman
Bob (rat),Bob
Dean Lipson,Ross
Leonard Greene,Ross
Pizza Guy,George Stephanopoulos
Ryan,Rachel
Carl (bully),Chandler
Leonard Greene,Stu
Amy Greene,Jill Greene
Emma Geller-Greene,Earl
Mark Robinson,Chloe
Allesandro,Emilio
Mr. Treeger,Chandler
Uncle Sal,Gloria Tribbiani
Tag Jones,Phoebe
Cassie,Erica Bing
Steve Cera,Ugly Naked Guy
Aunt Lisa,Jack Geller
Estelle Leonard,Russ
Frances,Phoebe Abbott
Jason,Vince
Judy Geller,Erica
Mr. Bunch,Susan Bunch
Grandma Geller,Chandler
Paul the Wine Guy,Joey
Michelle,Ross
Josh,Amanda (Ross' date)
Caitlin,Chandler
"David ""Tank"" Abbott",Pete Becker
Luisa Gianetti,Mr. Heckles
Chandler Buffay,Frank Buffay Sr.
Amanda (Monica And Chandler's wedding),Charles Bing
Will Colbert,Monica
Charles Bing,Eric
Mona,Joey
Alice Knight,Frank Jr. Jr.
Uncle Murray,Ross
Joshua Burgin,Jen
Mr. Waltham,Joshua Burgin
Joanne,George Stephanopoulos
Andrea Waltham,Stephen Waltham
Cousin Frannie,Cheryl
Tribbiani Sisters,Monica
Mozzarella,Phoebe
David,Rachel
Aunt Iris,Ross
Charlie Wheeler,David
Gloria Tribbiani,Rachel
Emma Geller-Greene,Jack Geller
Nonnie,Rachel
Mary-Therese Tribbiani,Joey Tribbiani Sr.
Parker,Monica
Danny,Chandler
Steve (Chandler's boss),Chandler
The Judge,Joey
Unnamed Season 7 Characters,Nurse
Erica,Shovelly Joe
Tony (Allesandro's employee),Tony
Al Zebooker,Mr. Simon
Julio (cat),Lily Buffay
Kyle,Whitney
Dana Keystone,Chandler
Emma Geller-Greene,Jill Greene
Jeffrey,Chandler
Cassie,Chandler
Aunt Liddy,Jack Geller
Phoebe's stepfather,Frank Buffay Sr.
Uncle Freddie,Monica
Sharon Majeski,Rachel
Nancy Oberblau,Ross
Althea,Judy Geller
Timothy Burke,Michael
Leslie,Leslie (casting director)
Clifford Burnett,Joey
Duncan,Mrs. Buffay (Frank Sr.'s second wife)
Ugly Naked Guy,Phoebe
Fun Bobby's grandfather,Monica
Nora Tyler Bing,Eric
Dana Keystone,Dan
Michelle,Jen
Nurse,Lydia
Jack Geller,Robert
Alice Knight,Frank Buffay Sr.
Emma Geller-Greene,Aunt Iris
Sandra Greene,Chloe
Dr. Gettleman's daughter,Chandler
Frank Buffay Jr.,Ross
Stryker Ramoray,Eric
Cathy,Robert
Steve (drug addict),Jack Geller
Ben Geller,Mrs. Bunch
Leslie,Phoebe
Steve (drug addict),Mark Robinson
Ned Morse,Joey
Frank Jr. Jr.,Phoebe Abbott
Andrea Waltham,Jack Geller
Dr. Oberman,Phoebe
Krista,Julie
Marcel,Phoebe
Mrs. Buffay (Frank Sr.'s second wife),Leslie
Aunt Lisa,Uncle Dan
Chip Matthews,Nancy
Dina,Mary-Therese Tribbiani
